item_id,version,status,blueprint_version,major_category,subcategory,difficulty,tags_anatomy_region,tags_physics_concept,tags_positioning_theme,tags_clinical_concept,tags_imaging_system,stem,option_a,option_b,option_c,option_d,correct_option,explanation,author,last_updated
RP-A04,1,review,RAD_2022_Jan,Safety,Radiation Protection,5,pelvis,pregnancy screening,,ALARA,general radiography,A patient of childbearing potential presents for a pelvis radiograph and states they “might be pregnant” but is unsure. What is the best next step?,Proceed because the exam is medically indicated,Ask the patient to sign a waiver and proceed,Follow facility policy to verify pregnancy status and consult the ordering provider/radiologist before exposing,Reduce technique by half and proceed to minimize dose,C,Possible pregnancy requires following policy and consultation to ensure justification and optimization. Waivers don’t replace clinical decision-making. Proceeding without verification risks unnecessary fetal exposure. Arbitrary technique reduction can produce nondiagnostic images and repeats.,chatgpt,2026-02-25
IA-01,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,kVp effect,,contrast,digital radiography,Increasing kVp (with appropriate mAs adjustment) generally results in:,Increased contrast (short-scale),Decreased contrast (long-scale),Increased motion blur,Increased magnification,B,"Higher kVp increases penetration and scatter, producing longer-scale (lower) contrast. Motion blur depends on time and movement, not kVp alone. Magnification depends on geometry (OID/SID).",chatgpt,2026-02-25
IA-02,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,spatial resolution,,focal spot,general radiography,Which change most directly improves recorded detail on a radiograph?,Increase OID,Use a smaller focal spot,Decrease SID,Increase field size,B,A smaller focal spot reduces geometric unsharpness and improves spatial resolution. Increasing OID worsens magnification and unsharpness. Decreasing SID increases magnification/unsharpness. Increasing field size increases scatter and can reduce detail visibility.,chatgpt,2026-02-25
IA-03,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,4,,exposure indicators,,repeat analysis,digital radiography,A digital radiograph appears acceptable but shows an exposure indicator consistently higher than target across multiple patients. What is the most likely issue?,Routine overexposure (dose creep),Excessive grid cutoff,Too low kVp causing quantum mottle,Motion artifact due to long exposure time,A,"Repeated higher-than-target exposure indicators suggest systematically high exposure (dose creep), even if post-processing masks brightness. Grid cutoff typically lowers detector exposure. Low kVp with insufficient mAs increases noise and often looks degraded. Motion artifact is visual and not primarily reflected by elevated exposure indicators.",chatgpt,2026-02-25
EQ-01,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,2,,artifacts,,detector hygiene,digital radiography,"A radiograph shows multiple small, bright circular spots in the same location on repeated images. What is the most likely cause?",Patient motion,Dust/debris on the detector or protective cover,Low kVp,Grid misalignment,B,"Fixed-location spots across repeats strongly suggest detector/cover contamination or a detector artifact. Motion changes position between exposures. Low kVp affects overall appearance/noise, not fixed spots. Grid misalignment produces density variation patterns, not discrete fixed circles.",chatgpt,2026-02-25
EQ-02,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,3,,ABC,,dose management,fluoroscopy,"In fluoroscopy, the feature that automatically adjusts exposure to maintain image brightness is most directly associated with:",Automatic brightness control,Collimation only,Filtration only,Heel effect compensation,A,Automatic brightness control adjusts technical factors to maintain consistent image brightness. Collimation and filtration affect dose and scatter but do not automatically regulate brightness by themselves. Heel effect is geometric and not a fluoroscopic control system.,chatgpt,2026-02-25
EQ-03,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,4,,alignment,,QC testing,general radiography,A quality control test reveals consistent misalignment between the light field and the x-ray field. What is the primary concern?,Increased focal spot size,Unintended patient exposure outside the intended anatomy,Increased detector lag,Increased Compton interaction rate,B,"Light/x-ray field misalignment can irradiate anatomy outside the intended region and compromise collimation accuracy. Focal spot size is unrelated. Detector lag is a receptor performance issue. Interaction rates depend on beam energy and tissue, not field lamp alignment.",chatgpt,2026-02-25
HSP-01,1,review,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,cervical spine,,trauma,immobilization,general radiography,A trauma patient arrives with a cervical collar in place for suspected C-spine injury. What is the best approach for positioning?,Remove the collar to obtain better neck extension,Maintain immobilization and follow trauma imaging protocols,Ask the patient to rotate the head to open intervertebral spaces,Proceed with routine obliques requiring neck rotation,B,Suspected cervical injury requires maintaining immobilization and using trauma-appropriate projections/protocols. Removing the collar or rotating the head risks worsening injury. Routine obliques are not appropriate if motion/rotation is unsafe.,chatgpt,2026-02-25
HSP-02,1,review,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",4,pelvis/hip,,rotation,evaluation criteria,general radiography,"On an AP pelvis radiograph, the right obturator foramen appears larger than the left. What does this most likely indicate?",Right hip is internally rotated,Patient is rotated toward the left,Patient is rotated toward the right,Right hip is externally rotated only,B,"The obturator foramen appears larger on the side farther from the detector; if the right foramen is larger, the patient is rotated toward the left. Hip rotation affects femoral neck appearance, not pelvic rotation symmetry.",chatgpt,2026-02-25
TA-01,1,review,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,2,thorax,,inspiration,evaluation criteria,general radiography,"For an upright chest radiograph, the best time to expose to demonstrate maximum lung expansion is at:",End of expiration,End of second deep inspiration,Beginning of inspiration,Any point during normal breathing,B,End of the second deep inspiration typically provides maximal lung inflation and lowers the diaphragm. End expiration is used for some special evaluations but not routine maximum expansion. Beginning or normal breathing increases motion risk.,chatgpt,2026-02-25
TA-02,1,review,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,4,abdomen,,air-fluid levels,obstruction,general radiography,An abdominal series is ordered to evaluate possible bowel obstruction. Which positioning choice best demonstrates air-fluid levels?,AP supine abdomen only,PA prone abdomen only,Upright abdomen (or left lateral decubitus if unable to stand),Trendelenburg position to shift gas inferiorly,C,Upright or decubitus positioning allows air-fluid levels to form and be visualized. Supine/prone alone may miss levels. Trendelenburg is not standard for demonstrating obstruction air-fluid levels.,chatgpt,2026-02-25
EX-01,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,2,wrist,,joint space,evaluation criteria,general radiography,"For a PA wrist radiograph, which positioning best demonstrates the wrist joint spaces?",Wrist flexed with fingers curled,Hand pronated with wrist and hand in the same plane,Elbow elevated above shoulder level,Wrist rotated into a lateral position,B,A true PA wrist requires the hand pronated with the wrist/hand in the same plane to open joint spaces. Flexion and curled fingers alter alignment. Elbow elevation introduces distortion. A lateral is a different projection.,chatgpt,2026-02-25
EX-02,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,3,knee,,rotation,evaluation criteria,general radiography,"On an AP knee radiograph, the fibular head is almost completely superimposed by the tibia. This indicates the knee is most likely:",Under-rotated (too lateral),Over-rotated medially,Properly positioned,Flexed too much,B,Excessive superimposition indicates medial (internal) rotation beyond correct AP alignment. Under-rotation shows the fibular head more free. Flexion affects joint space appearance but not this rotation sign.,chatgpt,2026-02-25
EX-03,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,5,hip/femur,,trauma,suspected fracture,general radiography,A patient has severe hip pain after a fall and the leg is shortened and externally rotated. What is the best initial imaging approach?,Force internal rotation for an AP hip to evaluate the femoral neck,Obtain an AP pelvis and a cross-table lateral of the affected hip without manipulating the limb,Obtain frog-leg lateral immediately for best visualization,Skip radiographs and proceed directly to CT without consultation,B,Suspected hip fracture requires minimal manipulation; AP pelvis and cross-table lateral provide diagnostic views while protecting the patient. Forcing internal rotation or frog-leg positioning can displace a fracture. CT may be appropriate after initial assessment per protocol/provider.,chatgpt,2026-02-25
RPR-01,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,1,,electromagnetic spectrum,,,general radiography,X-rays used in diagnostic imaging are best described as:,Particles with mass and charge,High-frequency electromagnetic radiation,Sound waves requiring a medium,Visible light with very short wavelength,B,Diagnostic x-rays are electromagnetic radiation with high frequency and short wavelength. They have no mass or charge. Sound waves are mechanical and require a medium. X-rays are not visible light.,chatgpt,2026-02-25
RPR-02,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,2,,x-ray tube,,,general radiography,"In an x-ray tube, the primary function of the filament is to:",Convert x-rays into visible light,Produce electrons by thermionic emission,Accelerate photons toward the anode,Absorb scatter from the patient,B,"Heating the filament releases electrons via thermionic emission. Intensifying screens convert x-rays to light, not the filament. Photons are not accelerated in the tube—electrons are. Scatter absorption is a grid function.",chatgpt,2026-02-25
RPR-03,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,photon interactions,,,general radiography,Increasing patient thickness most directly increases the amount of scatter produced because it:,Decreases the number of interactions,Increases the volume of tissue irradiated,Eliminates photoelectric absorption,Lowers x-ray beam energy automatically,B,"More tissue volume in the beam increases the number of interactions and thus scatter production. Interactions increase, not decrease. Photoelectric absorption still occurs. Beam energy is set by kVp, not by patient thickness.",chatgpt,2026-02-25
RPR-04,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,beam quality,,,general radiography,Which change increases x-ray beam penetrability while generally reducing patient skin dose from low-energy photons?,Decrease filtration,Increase filtration,Decrease kVp,Increase mAs only,B,"Added filtration removes low-energy photons and increases average beam energy (beam quality). Decreasing filtration does the opposite. Lowering kVp reduces penetrability. Increasing mAs increases quantity, not penetrability, and can increase dose.",chatgpt,2026-02-25
RPR-05,1,review,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,4,,half-value layer;attenuation,,,general radiography,Half-value layer (HVL) is most useful for describing:,Beam intensity at the detector,Beam quality (penetrability),Image contrast in digital systems,Patient dose from scatter,B,"HVL quantifies how much material is needed to reduce beam intensity by half and is used as an indicator of beam quality. It does not directly measure detector exposure, image contrast, or scatter dose.",chatgpt,2026-02-25
RP-01,1,review,RAD_2022_Jan,Safety,Radiation Protection,1,,,,ALARA,general radiography,The ALARA principle is best summarized as keeping radiation exposure:,As high as needed for perfect images,As low as reasonably achievable,Limited only for pediatric patients,Eliminated by using grids,B,ALARA means minimizing dose while obtaining adequate diagnostic information. “Perfect images” can drive unnecessary exposure. ALARA applies to all patients. Grids do not eliminate dose and often require higher mAs.,chatgpt,2026-02-25
RP-02,1,review,RAD_2022_Jan,Safety,Radiation Protection,2,,shielding,,occupational dose,portable radiography,"During a portable exam, which action most effectively reduces technologist exposure?",Stand closer to reduce scatter angle,Increase field size to reduce repeats,Maximize distance and use protective barriers when available,Hold the detector to prevent motion,C,Distance and shielding are highly effective for reducing exposure. Standing closer increases exposure. Increasing field size increases scatter. Holding the detector is unsafe and increases occupational dose.,chatgpt,2026-02-25
RP-03,1,review,RAD_2022_Jan,Safety,Radiation Protection,3,,beam restriction,,scatter control,general radiography,"For a routine abdomen radiograph, tight collimation primarily reduces:",Patient motion,Scatter radiation,Magnification,Focal spot blur,B,"Collimation reduces irradiated tissue volume, lowering scatter and improving contrast. Motion, magnification, and focal spot blur are controlled by time and geometry, not field size.",chatgpt,2026-02-25
RP-04,1,review,RAD_2022_Jan,Safety,Radiation Protection,4,,grid,,dose management,general radiography,A grid is used for a large patient. Which consequence is most expected if exposure factors are not adjusted?,Increased detector exposure (overexposure),Decreased detector exposure (underexposure),Increased magnification,Decreased scatter production,B,"Grids absorb scatter and some primary radiation; without compensating mAs, receptor exposure drops. Magnification is geometric. Scatter production depends on tissue volume and kVp; the grid removes scatter reaching the detector but doesn’t reduce scatter created.",chatgpt,2026-02-25
RP-05,1,review,RAD_2022_Jan,Safety,Radiation Protection,5,,dose optimization,,repeat reduction,digital radiography,A department notices more repeats on pediatric extremities due to clipped anatomy. Which change best reduces dose while maintaining diagnostic quality?,Increase kVp to reduce repeats without changing collimation practice,Standardize collimation training and require anatomy-in-field checks before exposure,Lower mAs for all exams regardless of patient size,Use a grid routinely to improve detail,B,Preventing repeats by improving collimation practice reduces dose most effectively. Raising kVp may increase scatter and doesn’t fix clipping behavior. Blanket mAs reduction risks nondiagnostic images and repeats. Routine grid use increases dose and is usually unnecessary for pediatric extremities.,chatgpt,2026-02-25
IAE-01,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,1,,exposure factors,,,general radiography,Which factor primarily controls the quantity of x-rays produced?,kVp,mAs,SID,Grid ratio,B,mAs controls x-ray quantity (number of photons). kVp primarily affects beam energy/penetration and contrast. SID affects intensity at the detector geometrically. Grid ratio affects scatter cleanup and exposure requirements.,chatgpt,2026-02-25
IAE-02,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,resolution,geometry,,general radiography,"To reduce magnification on a radiograph, the technologist should primarily:",Increase OID,Decrease SID,Decrease OID,Increase exposure time,C,"Lower OID reduces magnification. Increasing OID increases magnification. Decreasing SID increases magnification. Exposure time affects motion, not magnification.",chatgpt,2026-02-25
IAE-03,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,contrast,,scatter,digital radiography,A lateral lumbar image shows low contrast due to excessive scatter. Which change most directly improves contrast?,Increase field size,Add a grid or increase beam restriction appropriately,Decrease SID,Increase exposure time,B,Scatter reduction (beam restriction and/or grid use) improves contrast. Increasing field size increases scatter. SID and time don’t address scatter-driven contrast loss.,chatgpt,2026-02-25
IAE-04,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,motion,,repeat reduction,general radiography,A chest radiograph shows motion blur. Which change most directly reduces motion blur while maintaining exposure?,Increase exposure time and decrease mA,Decrease exposure time and increase mA proportionally,Decrease kVp and keep mAs constant,Increase SID without changing factors,B,Shorter exposure time reduces motion; increasing mA maintains mAs and receptor exposure. Longer time worsens motion. kVp changes affect contrast/penetration and may alter exposure. SID changes can reduce intensity at the detector without addressing motion cause.,chatgpt,2026-02-25
IAE-05,1,review,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,4,,histogram analysis,,exposure error,digital radiography,"A digital image appears overly bright after processing, but the exposure indicator suggests underexposure. Which is the most likely cause?",Over-collimation or improper field recognition affecting histogram analysis,Excessive mAs causing saturation,Grid cutoff increasing brightness,Increased kVp reducing scatter,A,Incorrect field recognition/histogram analysis can produce misleading brightness despite low exposure indicator. Excessive mAs typically increases exposure indicator. Grid cutoff decreases exposure and tends to produce noisy images. Higher kVp usually increases scatter unless controlled.,chatgpt,2026-02-25
EQA-01,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,1,,artifacts,,QC,digital radiography,A detector artifact is most strongly suggested when an abnormal pattern appears:,Only on one patient,In different locations each exposure,In the same location on repeated images,Only when the patient moves,C,"Fixed-location patterns across repeats suggest a detector/processing artifact. Patient-only, variable-location, or motion-dependent patterns point away from detector hardware issues.",chatgpt,2026-02-25
EQA-02,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,2,,alignment,,QC testing,general radiography,The primary purpose of a light field–radiation field congruence test is to verify:,Focal spot size,Collimator accuracy,Grid ratio,kVp waveform,B,"Congruence testing confirms the collimator light field matches the actual x-ray field. Focal spot size and kVp waveform are separate QC areas. Grid ratio is a physical grid property, not a collimator alignment test.",chatgpt,2026-02-25
EQA-03,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,3,,ABC,,dose management,fluoroscopy,"During fluoroscopy, image brightness remains stable as patient thickness increases. Which system is primarily responsible?",Automatic brightness control,Collimation shutters only,Added filtration only,AEC chambers under the table,A,"Automatic brightness control adjusts technical factors to maintain brightness. Collimation and filtration influence dose/quality but do not automatically maintain brightness. AEC is typically associated with radiographic exposures, not fluoroscopic brightness regulation.",chatgpt,2026-02-25
EQA-04,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,4,,DQE,,QC,digital radiography,Detective quantum efficiency (DQE) is best described as a detector’s ability to:,Increase patient dose to reduce noise,Convert x-ray signal into an image with minimal noise for a given exposure,Eliminate the need for collimation,Prevent motion blur during exposure,B,"DQE reflects how efficiently a detector produces image quality for a given exposure. It does not justify increasing dose, replace collimation, or address motion blur.",chatgpt,2026-02-25
EQA-05,1,review,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,4,,calibration,,repeat analysis,general radiography,A department’s repeat analysis shows frequent repeats due to “underexposure” even though techniques are unchanged. Which equipment issue is most plausible?,Decreased detector sensitivity or calibration drift,Increased SID in the room without documentation,Increased patient thickness across all exams,Excessive collimation improving contrast,A,Calibration drift or sensitivity changes can cause systematic exposure problems without technique changes. SID changes would be noticed operationally and are not typically uniform across all work. Patient thickness wouldn’t shift globally across all exams. Collimation doesn’t cause underexposure by itself.,chatgpt,2026-02-25
TAP-01,1,review,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,1,thorax,,respiration,,general radiography,A routine PA chest radiograph is typically exposed on:,End expiration,End of second full inspiration,Mid-inspiration,Any breathing phase if the patient is upright,B,"Second full inspiration maximizes lung inflation and improves visualization. Expiration is used for specific indications, not routine PA chest. Mid-inspiration and “any phase” increase motion and reduce consistency.",chatgpt,2026-02-25
TAP-02,1,review,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,2,ribs,,respiration,fracture,general radiography,"To best demonstrate ribs above the diaphragm, exposures are typically made on:",Full inspiration,Full expiration,Shallow breathing,Valsalva maneuver,A,"Inspiration elevates the rib cage and lowers the diaphragm, improving visualization of upper ribs. Expiration is often used for ribs below the diaphragm. Shallow breathing risks motion. Valsalva is not standard for rib imaging.",chatgpt,2026-02-25
TAP-03,1,review,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,abdomen,,obstruction,air-fluid levels,general radiography,A patient cannot stand for an acute abdomen evaluation. Which position best substitutes for an upright abdomen to demonstrate air-fluid levels?,AP supine only,Left lateral decubitus with a horizontal beam,Prone abdomen,Trendelenburg,B,A decubitus with a horizontal beam demonstrates air-fluid levels when upright is not possible. Supine/prone alone may miss levels. Trendelenburg is not a standard substitute and can be poorly tolerated.,chatgpt,2026-02-25
TAP-04,1,review,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,4,chest,,rotation,evaluation criteria,general radiography,"On a PA chest radiograph, the right sternoclavicular joint appears farther from the spine than the left. This most likely indicates the patient was rotated:",Toward the right,Toward the left,Not rotated; this is normal,"With shoulders elevated, not rotated",A,"If the right SC joint is farther from the spine, the right side is farther from the detector, indicating rotation toward the right. Shoulder elevation affects clavicle position, not SC symmetry relative to the spine.",chatgpt,2026-02-25
TAP-05,1,review,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,4,abdomen,,CR placement,evaluation criteria,general radiography,"For an AP supine abdomen intended to include the symphysis pubis, the CR is centered:",At the xiphoid process,2 inches above the iliac crest,At the iliac crest,At the symphysis pubis,B,Centering about 2 inches above the iliac crest helps include the lower abdomen and symphysis pubis. Centering at the crest often excludes the pubis. Xiphoid is too high. Symphysis is too low for routine abdomen coverage.,chatgpt,2026-02-25
EXP-01,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,1,hand,,projection selection,,general radiography,The routine projection for demonstrating phalanges and metacarpals of the hand is most commonly:,PA hand,AP hand,Lateral hand only,Tangential hand,A,"PA hand is the standard routine projection for hand anatomy. AP is less common as the routine baseline. Lateral is complementary, not sufficient alone. Tangential is for specific structures.",chatgpt,2026-02-25
EXP-02,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,2,ankle,,mortise,evaluation criteria,general radiography,"To best open the ankle mortise joint space, the technologist should position the ankle in:",True lateral,Medial rotation of the entire leg 15–20 degrees,Prone with plantar flexion,External rotation of the foot 45 degrees,B,Ankle mortise is best demonstrated with 15–20° medial rotation to align the malleoli parallel to the detector. Lateral is a different projection. Plantar flexion doesn’t open the mortise. Large external rotation misaligns the joint.,chatgpt,2026-02-25
EXP-03,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,3,elbow,,trauma,joint effusion,general radiography,A lateral elbow radiograph shows an elevated posterior fat pad. This finding most strongly suggests:,Correct rotation with no pathology,Joint effusion possibly associated with occult fracture,Overexposure to the detector,Motion artifact,B,"A visible/elevated posterior fat pad is abnormal and commonly indicates effusion, often due to fracture. It’s not a normal positioning marker. Exposure errors don’t create fat pad signs. Motion produces blur.",chatgpt,2026-02-25
EXP-04,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,4,knee,,lateral knee,evaluation criteria,general radiography,"On a lateral knee radiograph, the femoral condyles are not superimposed, and the medial condyle appears posterior. What correction is most appropriate?",Rotate the knee slightly toward the affected side (increase internal rotation),Rotate the knee slightly away from the affected side (increase external rotation),Increase knee flexion,Decrease SID,A,"If the medial condyle is posterior, the knee is rotated too externally; correcting requires slight internal rotation to superimpose condyles. Flexion affects patellofemoral relationship but not condylar superimposition. SID changes don’t correct rotation.",chatgpt,2026-02-25
EXP-05,1,review,RAD_2022_Jan,Procedures,Extremity Procedures,5,hip,,trauma,fracture precautions,general radiography,A trauma patient cannot internally rotate the leg for an AP hip. What is the best alternative to evaluate the proximal femur without forcing movement?,Frog-leg lateral,Cross-table lateral,Weight-bearing AP pelvis,Oblique hip with patient rotation,B,Cross-table lateral evaluates the hip/proximal femur without manipulating the injured limb. Frog-leg requires significant movement. Weight-bearing is inappropriate in trauma. Patient-rotation obliques may still be unsafe and don’t replace a true trauma lateral.,chatgpt,2026-02-25
PC-05,1,review,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,patient instructions,consent,general radiography,"Before beginning a non-emergent radiographic exam, the technologist should first:",Explain the exam and verify patient identity using two identifiers,Position the patient to save time and explain afterward,Ask the patient to sign a form without discussion,Rely on the requisition name only if the patient is cooperative,A,Proper identification and clear explanation support safety and informed participation. Positioning first can lead to errors and anxiety. A signature alone is not informed consent. A requisition name alone is insufficient identification.,chatgpt,2026-02-25
PC-06,1,review,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,shoulder,,adaptation,pain management,general radiography,A patient with severe shoulder pain cannot abduct for a routine axillary view. What is the best approach?,Force abduction briefly and expose quickly,Ask the ordering provider to cancel the lateral projection,Use an alternative trauma lateral projection that minimizes movement,Skip the lateral entirely and repeat the AP with higher mAs,C,"When movement is limited, use an alternative lateral that meets the clinical goal while minimizing pain and risk. Forcing motion is unsafe. Canceling without consultation may compromise diagnosis. Repeating the AP doesn’t replace orthogonal information.",chatgpt,2026-02-25
PC-07,1,review,RAD_2022_Jan,Patient Care,Patient Interactions and Management,4,chest,,cooperation,pediatric communication,general radiography,A young child is crying and resisting positioning for a chest radiograph. What is the best initial strategy?,Restrain the child immediately to prevent repeats,Use age-appropriate explanation and enlist a parent/guardian to comfort and assist per policy,Delay the exam until the end of the day,Proceed without immobilization and take multiple quick exposures,B,"Calm, age-appropriate coaching and appropriate guardian assistance improves cooperation and reduces repeats. Immediate restraint may escalate distress and should follow policy and necessity, not be first-line. Delaying may not be clinically appropriate. Multiple exposures increases dose.",chatgpt,2026-02-25
